﻿Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
MAREIL-SUR-MAULDRE;87381715;DIM;2024-01-21;2024;N;N;De 16h à 20h;28
SAINT-CYR;87393223;JOB;2024-01-16;2024;N;N;Avant 6h;61
VERSAILLES-CHANTIERS;87393009;JOB;2025-06-02;2025;C;C;De 16h à 20h;1459
L'ISLE-ADAM-PARMAIN;87276527;DIM;2024-01-21;2024;H;H;De 10h à 16h;287
MERIEL;87276675;SAM;2024-01-20;2024;H;H;De 6h à 10h;88
MAREUIL-SUR-OURCQ;87116665;SAM;2023-09-16;2023;P;P;Après 20h;1
MEUDON-VAL-FLEURY;87393082;SAM;2025-08-02;2025;C;C;Avant 6h;11
VERSAILLES-CHANTIERS;87393009;SAM;2025-08-02;2025;C;V;De 10h à 16h;632
BOISSY-L'AILLERIE;87381152;JOB;2024-01-16;2024;J;J6;De 16h à 20h;82
SAINT-DENIS;87271015;JOB;2024-05-03;2024;D;D;De 10h à 16h;6649
VERT-GALANT;87271437;DIM;2019-03-17;2019;B;B;De 6h à 10h;751
PARC-DU-CHATEAU;87745786;SAM;2024-11-30;2024;T12;T12;De 10h à 16h;278
MITRY-CLAYE;87271528;JOB;2023-10-10;2023;B;B;De 6h à 10h;983
HOUDAN;87393462;SAM;2024-01-20;2024;N;N;De 10h à 16h;430
MONTGERON-CROSNE;87682104;JOB;2024-05-03;2024;D;D;De 16h à 20h;1077
VERT-GALANT;87271437;JOB;2023-10-10;2023;B;B;De 16h à 20h;2234
SAINT-DENIS;87271015;JOB;2024-01-16;2024;H;H;De 6h à 10h;5126
VERSAILLES-CHATEAU-RIVE-GAUCHE;87393157;DIM;2025-09-02;2025;C;C;De 16h à 20h;3592
L'ISLE-ADAM-PARMAIN;87276527;SAM;2024-01-20;2024;H;H;De 16h à 20h;295
SAINT-LEU-D'ESSERENT;87276402;DIM;2024-01-21;2024;H;H;De 16h à 20h;16
VERT-GALANT;87271437;SAM;2019-03-16;2019;B;B;De 6h à 10h;1790
SAINT-FARGEAU;87682542;JOB;2024-02-04;2024;D;D;De 16h à 20h;29
VERSAILLES-RIVE-DROITE;87382861;DIM;2024-01-21;2024;L;L2;Avant 6h;18
L'ISLE-ADAM-PARMAIN;87276527;SAM;2024-01-20;2024;H;H;De 6h à 10h;157
MONTIGNY-BEAUCHAMP;87276089;SAM;2025-08-02;2025;C;C;De 6h à 10h;415
MASSY-VERRIERES;87383281;SAM;2025-08-02;2025;C;C;Après 20h;3
MONTGEROULT-COURCELLES;87381160;DIM;2024-01-21;2024;J;J6;De 6h à 10h;1
MONTGERON-CROSNE;87682104;DIM;2024-03-03;2024;D;D;De 6h à 10h;357
BOURRON-MARLOTTE-GREZ;87684118;SAM;2024-01-20;2024;R;R;De 16h à 20h;61
MONTRY-CONDE;87116400;JOB;2023-09-19;2023;P;P;De 6h à 10h;79
VIARMES;87276568;JOB;2024-01-16;2024;H;H;Après 20h;10
MONTIGNY-BEAUCHAMP;87276089;SAM;2024-01-20;2024;H;H;Après 20h;341
VILLABE;87681619;JOB;2024-12-03;2024;D;D;De 6h à 10h;148
LA-COURNEUVE-AUBERVILLIERS;87271304;SAM;2019-03-16;2019;B;B;De 10h à 16h;5804
MORTCERF;87116244;SAM;2023-11-18;2023;P;P;De 10h à 16h;32
MAULE;87381723;JOB;2024-01-16;2024;N;N;De 10h à 16h;134
PARIS-GARE-DU-NORD;87271031;DIM;2024-01-21;2024;H;H;Après 20h;8103
MONTIGNY-BEAUCHAMP;87276089;DIM;2025-09-02;2025;C;C;Avant 6h;11
ISSOU-PORCHEVILLE;87381574;DIM;2024-01-21;2024;J;J6;De 10h à 16h;121
MUSEE-D'ORSAY;87547307;DIM;2025-09-02;2025;C;C;De 10h à 16h;2530
VILLENEUVE-LE-ROI;87545277;DIM;2025-09-02;2025;C;C;Avant 6h;17
SAINT-MAMMES;87682294;DIM;2024-01-21;2024;R;R;Avant 6h;7
VILLEPREUX-LES-CLAYES;87393413;SAM;2024-01-20;2024;N;N;De 16h à 20h;420
LA-GRANDE-PAROISSE;87682476;DIM;2024-01-21;2024;R;R;De 16h à 20h;29
NANTERRE-UNIVERSITE;87386318;SAM;2024-01-20;2024;L;L3;Avant 6h;29
MAURECOURT;87381483;SAM;2024-01-20;2024;J;J6;Après 20h;29
MORTCERF;87116244;SAM;2023-11-18;2023;P;P;De 16h à 20h;15
MUSEE-D'ORSAY;87547307;DIM;2025-09-02;2025;C;C;De 16h à 20h;2736
LA-NORVILLE-SAINT-GERMAIN-LES-ARPAJON;87545459;SAM;2025-08-02;2025;C;C;Avant 6h;13
NANTEUIL-SAACY;87116558;JOB;2023-09-19;2023;P;P;Avant 6h;112
VILLENEUVE-LE-ROI;87545277;DIM;2025-09-02;2025;C;C;De 6h à 10h;193
MOULIN-GALANT;87681403;JOB;2024-12-03;2024;D;D;De 10h à 16h;250
VILLIERS-MONTBARBIN;87116749;SAM;2023-09-16;2023;P;P;De 10h à 16h;29
LE-BOURGET;87271395;SAM;2019-03-16;2019;B;B;De 10h à 16h;5781
NEUILLY-PORTE-MAILLOT;87381020;DIM;2025-09-02;2025;C;C;De 16h à 20h;1356
MELUN;87682005;JOB;2024-02-04;2024;D;D;Après 20h;413
PARIS-SAINT-LAZARE;87384008;SAM;2024-01-20;2024;J;J6;De 6h à 10h;2416
