Nom Gare,Code Gare,Type jour,Date,Annee,Ligne,Axe,Tranche horaire,Somme de Montants,mois,jour_semaine
BOURAY,87545178,JOB,2025-06-02,2025,C,C,De 16h à 20h,484,6,Monday
LES-YVRIS-NOISY-LE-GRAND,87113803,DIM,2022-03-20,2022,E,E,De 6h à 10h,58,3,Sunday
LES-SAULES,87546226,SAM,2025-08-02,2025,C,C,Avant 6h,12,8,Saturday
BOURAY,87545178,SAM,2025-08-02,2025,C,C,De 10h à 16h,344,8,Saturday
VALMONDOIS,87276535,SAM,2024-01-20,2024,H,H,De 16h à 20h,263,1,Saturday
LES-YVRIS-NOISY-LE-GRAND,87113803,SAM,2022-03-19,2022,E,E,De 16h à 20h,143,3,Saturday
BOIS-BRIARD,87746024,SAM,2024-11-30,2024,T12,T12,De 10h à 16h,20,11,Saturday
LIEUSAINT-MOISSY,87682153,DIM,2024-03-03,2024,D,D,Avant 6h,73,3,Sunday
LIANCOURT-SAINT-PIERRE,87381210,SAM,2024-01-20,2024,J,J6,De 10h à 16h,4,1,Saturday
BUNO-GIRONVILLE,87681510,JOB,2024-02-04,2024,D,D,De 16h à 20h,15,2,Sunday
VAUBOYEN,87393538,DIM,2025-09-02,2025,C,V,Après 20h,2,9,Tuesday
LIEUSAINT-MOISSY,87682153,DIM,2024-03-03,2024,D,D,De 6h à 10h,509,3,Sunday
BREUILLET-BRUYERES-LE-CHATEL,87545483,SAM,2025-08-02,2025,C,C,Après 20h,13,8,Saturday
LIZY-SUR-OURCQ,87116632,JOB,2023-09-19,2023,P,P,Avant 6h,15,9,Tuesday
LIMAY,87381582,DIM,2024-01-21,2024,J,J6,De 10h à 16h,309,1,Sunday
CERGY-LE-HAUT,87382655,DIM,2022-11-20,2022,A,A,Avant 6h,64,11,Sunday
VAUCELLES,87276626,SAM,2024-01-20,2024,H,H,De 6h à 10h,134,1,Saturday
LIMAY,87381582,SAM,2024-01-20,2024,J,J6,Après 20h,46,1,Saturday
BONDY,87113407,DIM,2022-03-20,2022,E,E,De 10h à 16h,3288,3,Sunday
LONGUEVILLE,87116137,SAM,2023-11-18,2023,P,P,Après 20h,77,11,Saturday
LIZY-SUR-OURCQ,87116632,DIM,2023-09-17,2023,P,P,Après 20h,11,9,Sunday
CERGY-SAINT-CHRISTOPHE,87382499,JOB,2022-11-30,2022,A,A,Avant 6h,392,11,Wednesday
VAUCRESSON,87382267,JOB,2024-01-16,2024,L,L2,De 16h à 20h,903,1,Tuesday
LIZY-SUR-OURCQ,87116632,JOB,2023-09-19,2023,P,P,De 6h à 10h,341,9,Tuesday
BUNO-GIRONVILLE,87681510,DIM,2024-03-03,2024,D,D,Après 20h,2,3,Sunday
LUZARCHES,87276576,JOB,2024-01-16,2024,H,H,De 6h à 10h,324,1,Tuesday
LONGUEVILLE,87116137,JOB,2023-11-14,2023,P,P,De 16h à 20h,259,11,Tuesday
BUNO-GIRONVILLE,87681510,JOB,2024-02-04,2024,D,D,Après 20h,1,2,Sunday
VAUX-SUR-SEINE,87381814,JOB,2024-01-16,2024,J,J6,De 6h à 10h,444,1,Tuesday
LOUVECIENNES,87382457,DIM,2024-01-21,2024,L,L2,Après 20h,46,1,Sunday
BOURAY,87545178,SAM,2025-08-02,2025,C,C,De 16h à 20h,178,8,Saturday
MAISONS-LAFFITTE,87386425,DIM,2022-11-20,2022,A,A,De 6h à 10h,593,11,Sunday
LYCEE-HENRI-SELLIER,87988717,DIM,2021-12-09,2021,T4,T4,De 16h à 20h,171,12,Thursday
BOUTIGNY,87681478,DIM,2024-03-03,2024,D,D,De 6h à 10h,29,3,Sunday
MAISONS-LAFFITTE,87386425,DIM,2024-01-21,2024,L,L3,De 16h à 20h,287,1,Sunday
MAGENTA,87281873,DIM,2022-03-20,2022,E,E,De 10h à 16h,8114,3,Sunday
BUNO-GIRONVILLE,87681510,SAM,2024-02-03,2024,D,D,De 6h à 10h,8,2,Saturday
VERSAILLES-CHANTIERS,87393009,JOB,2025-06-02,2025,C,V,De 16h à 20h,1986,6,Monday
MAISONS-ALFORT-ALFORTVILLE,87681155,SAM,2024-02-03,2024,D,D,De 6h à 10h,2641,2,Saturday
CERNAY,87276063,SAM,2024-01-20,2024,H,H,De 16h à 20h,304,1,Saturday
MALESHERBES,87684415,JOB,2024-12-03,2024,D,D,De 6h à 10h,400,12,Tuesday
MAISONS-LAFFITTE,87386425,SAM,2022-11-19,2022,A,A,De 6h à 10h,1230,11,Saturday
CERGY-SAINT-CHRISTOPHE,87382499,JOB,2022-11-30,2022,A,A,De 10h à 16h,3272,11,Wednesday
VERSAILLES-CHATEAU-RIVE-GAUCHE,87393157,JOB,2025-06-02,2025,C,C,De 16h à 20h,3805,6,Monday
MANTES-LA-JOLIE,87381509,DIM,2024-01-21,2024,J,J6,Après 20h,69,1,Sunday
CHARS,87381194,JOB,2024-01-16,2024,J,J6,Après 20h,2,1,Tuesday
VERT-GALANT,87271437,DIM,2019-03-24,2019,B,B,Après 20h,448,3,Sunday
MANTES-LA-JOLIE,87381509,DIM,2024-01-21,2024,J,J6,Avant 6h,23,1,Sunday
CHARS,87381194,SAM,2024-01-20,2024,J,J6,De 16h à 20h,41,1,Saturday
MARLES-EN-BRIE,87116228,SAM,2023-11-18,2023,P,P,Après 20h,13,11,Saturday
MANTES-STATION,87381590,SAM,2024-01-20,2024,J,J6,De 6h à 10h,68,1,Saturday
CHAMPAGNE-SUR-SEINE,87682450,SAM,2024-01-20,2024,R,R,Après 20h,19,1,Saturday
MASSY-VERRIERES,87383281,JOB,2025-06-02,2025,C,C,De 6h à 10h,399,6,Monday
MARCHEZAIS-BROUE,87393470,JOB,2024-01-16,2024,N,N,Avant 6h,8,1,Tuesday
CHATEAU-THIERRY,87116582,SAM,2023-09-16,2023,P,P,Après 20h,87,9,Saturday
VIARMES,87276568,DIM,2024-01-21,2024,H,H,De 6h à 10h,20,1,Sunday
MAREUIL-SUR-OURCQ,87116665,DIM,2023-09-17,2023,P,P,De 10h à 16h,28,9,Sunday
CHAMPBENOIST-POIGNY,87115873,JOB,2023-11-14,2023,P,P,De 6h à 10h,134,11,Tuesday
MASSY-VERRIERES,87383281,SAM,2025-08-02,2025,C,C,De 10h à 16h,134,8,Saturday
MARLES-EN-BRIE,87116228,JOB,2023-11-14,2023,P,P,Après 20h,12,11,Tuesday
CHAVILLE-RIVE-DROITE,87382333,JOB,2024-04-23,2024,U,U,De 10h à 16h,114,4,Tuesday
VIGNEUX-SUR-SEINE,87681304,SAM,2024-02-03,2024,D,D,Après 20h,403,2,Saturday
MAROLLES-EN-HUREPOIX,87545186,DIM,2025-09-02,2025,C,C,De 10h à 16h,255,9,Tuesday
CHAVILLE-VELIZY,87393173,DIM,2025-09-02,2025,C,C,Après 20h,81,9,Tuesday
MAURECOURT,87381483,DIM,2024-01-21,2024,J,J6,De 10h à 16h,230,1,Sunday
MAROLLES-EN-HUREPOIX,87545186,DIM,2025-09-02,2025,C,C,De 16h à 20h,140,9,Tuesday
CHELLES-GOURNAY,87116111,DIM,2023-11-19,2023,P,P,De 6h à 10h,696,11,Sunday
MAURECOURT,87381483,SAM,2024-01-20,2024,J,J6,De 16h à 20h,141,1,Saturday
MAROLLES-EN-HUREPOIX,87545186,SAM,2025-08-02,2025,C,C,Avant 6h,12,8,Saturday
CHELLES-GOURNAY,87116111,DIM,2022-03-20,2022,E,E,De 6h à 10h,526,3,Sunday
VILLEPARISIS-MITRY-LE-NEUF,87271510,DIM,2019-03-17,2019,B,B,De 10h à 16h,1397,3,Sunday
MASSY-PALAISEAU,87393579,DIM,2024-01-12,2024,T12,T12,De 10h à 16h,841,1,Friday
CHATEAU-THIERRY,87116582,SAM,2023-09-16,2023,P,P,De 16h à 20h,190,9,Saturday
MELUN,87682005,SAM,2024-01-20,2024,R,R,Après 20h,1172,1,Saturday
MASSY-PALAISEAU,87393579,JOB,2025-06-02,2025,C,C,Après 20h,56,6,Monday
CHILLY-MAZARIN,87393637,DIM,2024-01-12,2024,T12,T12,Avant 6h,2,1,Friday
VILLETANEUSE-UNIVERSITE,87697318,DIM,2021-11-21,2021,T11,T11,De 6h à 10h,158,11,Sunday
MAULE,87381723,SAM,2024-01-20,2024,N,N,De 6h à 10h,56,1,Saturday
CHOISY-LE-ROI,87545285,JOB,2025-06-02,2025,C,C,De 16h à 20h,4535,6,Monday
MERIEL,87276675,SAM,2024-01-20,2024,H,H,De 16h à 20h,99,1,Saturday
MELUN,87682005,JOB,2024-01-16,2024,R,R,De 10h à 16h,4007,1,Tuesday
CHILLY-MAZARIN,87393637,SAM,2024-11-30,2024,T12,T12,De 6h à 10h,99,11,Saturday
VILLIERS-LE-BEL-GONESSE-ARNOUVILLE,87276220,JOB,2024-05-03,2024,D,D,De 10h à 16h,5118,5,Friday
MENNECY,87681411,DIM,2024-03-03,2024,D,D,De 16h à 20h,173,3,Sunday
CLAMART,87391565,JOB,2024-01-16,2024,N,N,De 16h à 20h,1038,1,Tuesday
COUILLY-SAINT-GERMAIN-QUINCY,87116731,JOB,2023-09-19,2023,P,P,De 10h à 16h,40,9,Tuesday
MENNECY,87681411,JOB,2024-12-03,2024,D,D,De 6h à 10h,877,12,Tuesday
CLAMART,87391565,JOB,2024-01-16,2024,N,N,De 6h à 10h,1903,1,Tuesday
MITRY-CLAYE,87271528,JOB,2023-10-10,2023,B,B,Avant 6h,90,10,Tuesday
MERY-SUR-OISE,87276667,SAM,2024-01-20,2024,H,H,Après 20h,46,1,Saturday
COIGNIERES,87393272,DIM,2024-01-21,2024,N,N,De 16h à 20h,125,1,Sunday
CREIL,87276006,JOB,2024-05-03,2024,D,D,De 16h à 20h,63,5,Friday
MEUDON,87393108,DIM,2024-01-21,2024,N,N,Après 20h,90,1,Sunday
COIGNIERES,87393272,JOB,2024-01-16,2024,N,N,De 6h à 10h,454,1,Tuesday
MONTGERON-CROSNE,87682104,DIM,2024-03-03,2024,D,D,Avant 6h,27,3,Sunday
MITRY-CLAYE,87271528,DIM,2019-03-17,2019,B,B,De 6h à 10h,186,3,Sunday
CHELLES-GOURNAY,87116111,SAM,2023-11-18,2023,P,P,Avant 6h,113,11,Saturday
CREPY-EN-VALOIS,87271593,DIM,2024-01-21,2024,K,K,De 6h à 10h,53,1,Sunday
MONTEREAU,87682302,DIM,2024-01-21,2024,R,R,De 6h à 10h,518,1,Sunday
CHEMIN-D'ANTONY,87546317,JOB,2025-04-02,2025,C,C,Avant 6h,9,4,Wednesday
MONTIGNY-SUR-LOING,87684100,DIM,2024-01-21,2024,R,R,Avant 6h,4,1,Sunday
MONTIGNY-BEAUCHAMP,87276089,JOB,2025-06-02,2025,C,C,Après 20h,153,6,Monday
COIGNIERES,87393272,DIM,2024-01-21,2024,N,N,Après 20h,39,1,Sunday
DEUIL-MONTMAGNY,87276345,DIM,2024-01-21,2024,H,H,De 16h à 20h,660,1,Sunday
MONTREUIL,87382879,SAM,2024-01-20,2024,L,L2,Avant 6h,18,1,Saturday
COIGNIERES,87393272,SAM,2024-01-20,2024,N,N,De 10h à 16h,236,1,Saturday
MONTSOULT-MAFFLIERS,87276493,SAM,2024-01-20,2024,H,H,De 16h à 20h,237,1,Saturday
MONTRY-CONDE,87116400,DIM,2023-09-17,2023,P,P,De 16h à 20h,22,9,Sunday
COULOMMIERS,87116301,JOB,2023-11-14,2023,P,P,Après 20h,48,11,Tuesday
ENGHIEN-LES-BAINS,87276022,JOB,2024-01-16,2024,H,H,De 16h à 20h,3175,1,Tuesday
MONTRY-CONDE,87116400,JOB,2023-09-19,2023,P,P,De 16h à 20h,15,9,Tuesday
CHEZY-SUR-MARNE,87116574,SAM,2023-09-16,2023,P,P,Après 20h,8,9,Saturday
NANGIS,87116095,SAM,2023-11-18,2023,P,P,Après 20h,41,11,Saturday
MONTSOULT-MAFFLIERS,87276493,SAM,2024-01-20,2024,H,H,Avant 6h,34,1,Saturday
CONFLANS-FIN-D'OISE,87381459,SAM,2022-11-19,2022,A,A,De 6h à 10h,717,11,Saturday
EPINAY-SUR-SEINE,87271148,DIM,2025-09-02,2025,C,C,Avant 6h,42,9,Tuesday
MORET-VENEUX-LES-SABLONS,87682278,JOB,2024-01-16,2024,R,R,Avant 6h,70,1,Tuesday
COURBEVOIE,87382200,JOB,2024-01-16,2024,L,L2,De 10h à 16h,1665,1,Tuesday
NANTERRE-UNIVERSITE,87386318,DIM,2024-01-21,2024,L,L3,De 10h à 16h,1145,1,Sunday
MORMANT,87116087,JOB,2023-11-14,2023,P,P,De 16h à 20h,102,11,Tuesday
CLICHY-LEVALLOIS,87381129,DIM,2024-01-21,2024,L,L3,De 6h à 10h,305,1,Sunday
EPONE-MEZIERES,87386763,DIM,2021-05-12,2021,J,J5,Avant 6h,5,5,Wednesday
MORTCERF,87116244,DIM,2023-11-19,2023,P,P,De 10h à 16h,33,11,Sunday
DAMMARTIN-JUILLY-SAINT-MARD,87271536,DIM,2024-01-21,2024,K,K,De 10h à 16h,19,1,Sunday
NEUILLY-PORTE-MAILLOT,87381020,SAM,2025-08-02,2025,C,C,Avant 6h,10,8,Saturday
MORTCERF,87116244,JOB,2023-11-14,2023,P,P,De 16h à 20h,33,11,Tuesday
CREIL,87276006,DIM,2024-03-03,2024,D,D,Avant 6h,109,3,Sunday
NEUVILLE-UNIVERSITE,87334482,JOB,2024-01-16,2024,L,L3,Après 20h,15,1,Tuesday
MUSEE-D'ORSAY,87547307,JOB,2025-06-02,2025,C,C,Après 20h,787,6,Monday
CLICHY-SOUS-BOIS-MAIRIE,87704288,DIM,2021-12-09,2021,T4,T4,De 6h à 10h,98,12,Thursday
NOGENT-L'ARTAUD-CHARLY,87116566,SAM,2023-09-16,2023,P,P,De 6h à 10h,98,9,Saturday
NANTEUIL-LE-HAUDOUIN,87271577,JOB,2024-01-16,2024,K,K,De 10h à 16h,44,1,Tuesday
DOMONT,87276436,SAM,2024-01-20,2024,H,H,De 10h à 16h,956,1,Saturday
ERAGNY-NEUVILLE,87381418,DIM,2024-01-21,2024,J,J6,De 10h à 16h,296,1,Sunday
NEUILLY-PORTE-MAILLOT,87381020,JOB,2025-11-02,2025,C,C,De 6h à 10h,1655,11,Sunday
CROUY-SUR-OURCQ,87116640,SAM,2023-09-16,2023,P,P,Après 20h,7,9,Saturday
NOISY-LE-SEC,87113217,JOB,2022-03-22,2022,E,E,Après 20h,1375,3,Tuesday
NEUILLY-PORTE-MAILLOT,87381020,SAM,2025-08-02,2025,C,C,Après 20h,809,8,Saturday
COMBS-LA-VILLE-QUINCY,87682146,JOB,2024-05-03,2024,D,D,Après 20h,398,5,Friday
ERMONT-EAUBONNE,87276055,DIM,2024-01-21,2024,J,J4,De 6h à 10h,635,1,Sunday
NEUVILLE-UNIVERSITE,87334482,SAM,2022-11-19,2022,A,A,De 10h à 16h,1102,11,Saturday
CONFLANS-FIN-D'OISE,87381459,DIM,2022-11-20,2022,A,A,De 10h à 16h,1080,11,Sunday
ERMONT-EAUBONNE,87276055,DIM,2025-09-02,2025,C,C,Avant 6h,20,9,Tuesday
NEZEL-AULNAY,87381731,SAM,2024-01-20,2024,N,N,De 10h à 16h,43,1,Saturday
DEUIL-MONTMAGNY,87276345,JOB,2024-01-16,2024,H,H,De 16h à 20h,992,1,Tuesday
ORRY-LA-VILLE-COYE,87276279,DIM,2024-03-03,2024,D,D,De 10h à 16h,148,3,Sunday
NEZEL-AULNAY,87381731,SAM,2024-01-20,2024,N,N,De 6h à 10h,18,1,Saturday
DEUIL-MONTMAGNY,87276345,JOB,2024-01-16,2024,H,H,De 6h à 10h,2474,1,Tuesday
PARC-DES-EXPOSITIONS,87271486,DIM,2019-03-24,2019,B,B,De 16h à 20h,424,3,Sunday
NOGENT-L'ARTAUD-CHARLY,87116566,DIM,2023-09-17,2023,P,P,De 6h à 10h,36,9,Sunday
CONFLANS-FIN-D'OISE,87381459,SAM,2024-01-20,2024,J,J6,Avant 6h,8,1,Saturday
ETRECHY,87545145,DIM,2025-09-02,2025,C,C,Après 20h,13,9,Tuesday
NOGENT-LE-PERREUX,87113746,DIM,2022-03-20,2022,E,E,De 6h à 10h,263,3,Sunday
EPINAY-SUR-ORGE,87545228,DIM,2025-09-02,2025,C,C,Après 20h,159,9,Tuesday
EVRY-COURCOURONNES,87681387,DIM,2024-01-12,2024,T12,T12,Après 20h,231,1,Friday
NOGENT-LE-PERREUX,87113746,JOB,2022-03-22,2022,E,E,De 6h à 10h,2197,3,Tuesday
DRANCY,87271403,SAM,2019-03-16,2019,B,B,Avant 6h,390,3,Saturday
PARC-DU-CHATEAU,87745786,SAM,2024-11-30,2024,T12,T12,De 6h à 10h,84,11,Saturday
NOISY-LE-SEC,87113217,DIM,2022-03-20,2022,E,E,Avant 6h,139,3,Sunday
DREUX,87393488,DIM,2024-01-21,2024,N,N,De 16h à 20h,376,1,Sunday
FERRIERES-FONTENAY,87684241,JOB,2024-01-16,2024,R,R,De 16h à 20h,49,1,Tuesday
ORLY-VILLE,87546200,JOB,2025-11-02,2025,C,C,De 10h à 16h,935,11,Sunday
DREUX,87393488,SAM,2024-01-20,2024,N,N,De 10h à 16h,496,1,Saturday
PARIS-GARE-DU-NORD,87271031,JOB,2023-10-10,2023,B,B,Avant 6h,3328,10,Tuesday
ORLY-VILLE,87546200,JOB,2025-06-02,2025,C,C,De 6h à 10h,1513,6,Monday
EPINAY-VILLETANEUSE,87271122,JOB,2021-11-23,2021,T11,T11,Après 20h,377,11,Tuesday
FONTAINEBLEAU-AVON,87682211,JOB,2024-01-16,2024,R,R,Avant 6h,63,1,Tuesday
ORMOY-VILLERS,87271585,JOB,2024-01-16,2024,K,K,De 10h à 16h,5,1,Tuesday
COUILLY-SAINT-GERMAIN-QUINCY,87116731,JOB,2023-09-19,2023,P,P,De 6h à 10h,111,9,Tuesday
PARIS-GARE-DU-NORD,87271031,SAM,2024-02-03,2024,D,D,De 10h à 16h,29568,2,Saturday
OSNY,87381145,SAM,2024-01-20,2024,J,J6,Après 20h,21,1,Saturday
EPINAY-SUR-ORGE,87545228,DIM,2024-01-12,2024,T12,T12,Après 20h,97,1,Friday
PARIS-MONTPARNASSE,87391003,SAM,2024-01-20,2024,N,N,De 6h à 10h,2602,1,Saturday
OZOIR-LA-FERRIERE,87116020,DIM,2022-03-20,2022,E,E,Après 20h,69,3,Sunday
EPINAY-SUR-SEINE,87271148,JOB,2025-06-02,2025,C,C,Avant 6h,186,6,Monday
FRANCONVILLE-LE-PLESSIS-BOUCHARD,87276071,DIM,2025-09-02,2025,C,C,Avant 6h,39,9,Tuesday
OZOIR-LA-FERRIERE,87116020,SAM,2022-03-19,2022,E,E,De 10h à 16h,655,3,Saturday
ERAGNY-NEUVILLE,87381418,JOB,2024-01-16,2024,J,J6,De 10h à 16h,305,1,Tuesday
PARIS-SAINT-LAZARE,87384008,SAM,2024-01-20,2024,L,L2,Avant 6h,109,1,Saturday
PANTIN,87113209,DIM,2022-03-20,2022,E,E,De 6h à 10h,696,3,Sunday
EPINAY-SUR-SEINE,87271148,SAM,2025-08-02,2025,C,C,De 16h à 20h,843,8,Saturday
FREINVILLE-SEVRAN,87113894,JOB,2021-09-21,2021,T4,T4,De 6h à 10h,1154,9,Tuesday
PARIS-GARE-DE-LYON,87686030,SAM,2024-01-20,2024,R,R,Après 20h,5007,1,Saturday
ERMONT-HALTE,87276584,SAM,2024-01-20,2024,H,H,De 6h à 10h,181,1,Saturday
PIERREFITTE-STAINS,87271163,DIM,2021-11-21,2021,T11,T11,Après 20h,185,11,Sunday
PARIS-GARE-DU-NORD,87271031,DIM,2024-01-21,2024,H,H,Avant 6h,213,1,Sunday
ETRECHY,87545145,JOB,2025-06-02,2025,C,C,Après 20h,13,6,Monday
GARGES-SARCELLES,87276196,JOB,2024-05-03,2024,D,D,Avant 6h,1235,5,Friday
PARIS-GARE-DU-NORD,87271031,JOB,2024-01-16,2024,K,K,De 6h à 10h,621,1,Tuesday
ETRECHY,87545145,SAM,2025-08-02,2025,C,C,Après 20h,31,8,Saturday
PIERRELAYE,87276097,DIM,2024-01-21,2024,H,H,Après 20h,58,1,Sunday
PARIS-MONTPARNASSE,87391003,JOB,2024-01-16,2024,N,N,De 16h à 20h,18149,1,Tuesday
DRANCY,87271403,SAM,2019-03-16,2019,B,B,De 16h à 20h,1858,3,Saturday
PIERRELAYE,87276097,JOB,2024-01-16,2024,H,H,Avant 6h,57,1,Tuesday
PARIS-SAINT-LAZARE,87384008,JOB,2024-01-16,2024,J,J6,Après 20h,7254,1,Tuesday
ETRECHY,87545145,DIM,2025-09-02,2025,C,C,De 10h à 16h,178,9,Tuesday
PIERRELAYE,87276097,JOB,2025-11-02,2025,C,C,De 10h à 16h,300,11,Sunday
PARIS-SAINT-LAZARE,87384008,SAM,2021-04-12,2021,J,J5,Avant 6h,0,4,Monday
ECOUEN-EZANVILLE,87276394,JOB,2024-01-16,2024,H,H,De 10h à 16h,665,1,Tuesday
AEROPORT-CHARLES-DE-GAULLE-1-(TERMINAL-3),87271460,JOB,2023-10-10,2023,B,B,De 6h à 10h,2184,10,Tuesday
PIERRELAYE,87276097,SAM,2024-01-20,2024,H,H,De 10h à 16h,376,1,Saturday
PARIS-SAINT-LAZARE,87384008,SAM,2024-01-20,2024,L,L3,Après 20h,3598,1,Saturday
EVRY-COURCOURONNES,87681387,SAM,2024-02-03,2024,D,D,De 6h à 10h,1482,2,Saturday
ANDRESY,87381491,JOB,2024-01-16,2024,J,J6,De 6h à 10h,625,1,Tuesday
PLAISIR-GRIGNON,87393421,SAM,2024-01-20,2024,N,N,De 6h à 10h,829,1,Saturday
PETIT-JOUY-LES-LOGES,87393504,JOB,2025-06-02,2025,C,V,Après 20h,4,6,Monday
EVRY-VAL-DE-SEINE,87681361,DIM,2024-03-03,2024,D,D,Avant 6h,9,3,Sunday
ALLEE-DE-LA-TOUR-RENDEZ-VOUS,87113878,DIM,2021-12-09,2021,T4,T4,De 16h à 20h,119,12,Thursday
POISSY,87386573,JOB,2025-01-04,2025,J,J5,Après 20h,484,1,Saturday
PETIT-JOUY-LES-LOGES,87393504,JOB,2025-06-02,2025,C,V,De 16h à 20h,77,6,Monday
FOURQUEUX-BEL-AIR,87733675,JOB,2023-10-19,2023,T13,T13,Après 20h,38,10,Thursday
ARGENTEUIL,87381848,SAM,2024-01-20,2024,J,J6,Après 20h,1284,1,Saturday
POISSY,87386573,JOB,2025-01-04,2025,J,J5,De 6h à 10h,3706,1,Saturday
PIERREFITTE-STAINS,87271163,DIM,2024-03-03,2024,D,D,De 10h à 16h,3774,3,Sunday
FAREMOUTIERS-POMMEUSE,87116277,DIM,2023-11-19,2023,P,P,Après 20h,10,11,Sunday
ARPAJON,87545467,DIM,2025-09-02,2025,C,C,Avant 6h,13,9,Tuesday
POISSY,87386573,SAM,2022-11-19,2022,A,A,Avant 6h,93,11,Saturday
PIERRELAYE,87276097,SAM,2025-08-02,2025,C,C,Après 20h,31,8,Saturday
ACHERES-VILLE,87381657,JOB,2024-01-16,2024,L,L3,De 10h à 16h,130,1,Tuesday
ATHIS-MONS,87545251,JOB,2025-04-02,2025,C,C,Avant 6h,80,4,Wednesday
PONT-DE-RUNGIS-AEROPORT-D'ORLY,87546192,DIM,2025-09-02,2025,C,C,De 6h à 10h,67,9,Tuesday
PLAISIR-GRIGNON,87393421,DIM,2024-01-21,2024,N,N,Après 20h,243,1,Sunday
GARCHES-MARNES-LA-COQUETTE,87382259,DIM,2024-01-21,2024,L,L2,De 6h à 10h,149,1,Sunday
ANDRESY,87381491,DIM,2024-01-21,2024,J,J6,De 16h à 20h,110,1,Sunday
PONT-DE-RUNGIS-AEROPORT-D'ORLY,87546192,SAM,2025-08-02,2025,C,C,De 6h à 10h,40,8,Saturday
PONT-DE-RUNGIS-AEROPORT-D'ORLY,87546192,SAM,2025-08-02,2025,C,C,Après 20h,85,8,Saturday
EPINAY-VILLETANEUSE,87271122,SAM,2024-01-20,2024,H,H,De 10h à 16h,4841,1,Saturday
AUBERGENVILLE-ELISABETHVILLE,87386730,JOB,2025-01-04,2025,J,J5,De 6h à 10h,1322,1,Saturday
PONT-PETIT,87276154,JOB,2024-01-16,2024,H,H,De 10h à 16h,148,1,Tuesday
PONT-PETIT,87276154,DIM,2024-01-21,2024,H,H,Après 20h,2,1,Sunday
GARGENVILLE,87381566,DIM,2024-01-21,2024,J,J6,Avant 6h,5,1,Sunday
AULNAY-SOUS-BOIS,87271411,JOB,2021-09-21,2021,T4,T4,De 10h à 16h,1713,9,Tuesday
PONTOISE,87276139,DIM,2024-01-21,2024,J,J6,Après 20h,211,1,Sunday
PONT-PETIT,87276154,SAM,2024-01-20,2024,H,H,De 6h à 10h,19,1,Saturday
ARBORETUM,87704320,SAM,2021-09-18,2021,T4,T4,Avant 6h,1,9,Saturday
AULNAY-SOUS-BOIS,87271411,DIM,2021-12-09,2021,T4,T4,Avant 6h,51,12,Thursday
L'ETANG-LES-SABLONS,87726109,SAM,2023-10-14,2023,T13,T13,De 10h à 16h,109,10,Saturday
PONTOISE,87276139,SAM,2024-01-20,2024,J,J6,Avant 6h,48,1,Saturday
ERAGNY-NEUVILLE,87381418,DIM,2024-01-21,2024,J,J6,De 16h à 20h,193,1,Sunday
AUVERS-SUR-OISE,87276543,SAM,2024-01-20,2024,H,H,Après 20h,10,1,Saturday
PROVINS,87116160,DIM,2023-11-19,2023,P,P,De 10h à 16h,388,11,Sunday
PORCHEFONTAINE,87393165,SAM,2025-08-02,2025,C,C,Avant 6h,8,8,Saturday
GARCHES-MARNES-LA-COQUETTE,87382259,JOB,2024-01-16,2024,L,L2,Avant 6h,22,1,Tuesday
BAILLY,87710780,DIM,2023-10-15,2023,T13,T13,De 16h à 20h,44,10,Sunday
LA-CELLE-SAINT-CLOUD,87382432,JOB,2024-01-16,2024,L,L2,De 6h à 10h,1714,1,Tuesday
PROVINS,87116160,SAM,2023-11-18,2023,P,P,De 10h à 16h,360,11,Saturday
AULNAY-SOUS-BOIS,87271411,DIM,2019-03-17,2019,B,B,De 10h à 16h,5859,3,Sunday
BECON-LES-BRUYERES,87382002,SAM,2024-01-20,2024,L,L2,Après 20h,470,1,Saturday
ROSA-PARKS,87654798,SAM,2022-03-19,2022,E,E,De 16h à 20h,3665,3,Saturday
PUTEAUX,87382382,JOB,2024-01-16,2024,L,L2,De 16h à 20h,1548,1,Tuesday
GROS-NOYER-SAINT-PRIX,87276592,DIM,2024-01-21,2024,H,H,De 10h à 16h,528,1,Sunday
BELLEVUE,87393116,JOB,2024-01-16,2024,N,N,Après 20h,134,1,Tuesday
ROSNY-SUR-SEINE,87415885,JOB,2025-01-04,2025,J,J5,Après 20h,4,1,Saturday
RAMBOUILLET,87393314,JOB,2024-01-16,2024,N,N,De 16h à 20h,1140,1,Tuesday
EVRY-COURCOURONNES,87681387,SAM,2024-02-03,2024,D,D,Avant 6h,164,2,Saturday
BEYNES,87393363,SAM,2024-01-20,2024,N,N,Après 20h,11,1,Saturday
LA-FRETTE-MONTIGNY,87381871,JOB,2024-01-16,2024,J,J6,Avant 6h,49,1,Tuesday
REMISE-A-JORELLE,87988709,JOB,2021-09-21,2021,T4,T4,De 16h à 20h,243,9,Tuesday
GROSLAY,87276360,SAM,2024-01-20,2024,H,H,De 16h à 20h,458,1,Saturday
AULNAY-SOUS-BOIS,87271411,DIM,2021-12-09,2021,T4,T4,De 6h à 10h,427,12,Thursday
LA-VERRIERE,87393256,SAM,2024-01-20,2024,N,N,Avant 6h,34,1,Saturday
REPUBLIQUE-MARX-DORMOY,87704254,JOB,2021-09-21,2021,T4,T4,Après 20h,56,9,Tuesday
EVRY-VAL-DE-SEINE,87681361,SAM,2024-02-03,2024,D,D,Après 20h,50,2,Saturday
