Nom Gare,Code Gare,Type jour,Date,Annee,Ligne,Axe,Tranche horaire,Somme de Montants,mois,jour_semaine
CHAMPBENOIST-POIGNY,87115873,SAM,2023-11-18,2023,P,P,De 10h à 16h,100,11,Saturday
PARC-DU-CHATEAU,87745786,JOB,2024-11-26,2024,T12,T12,Après 20h,34,11,Tuesday
MARLES-EN-BRIE,87116228,JOB,2023-11-14,2023,P,P,De 6h à 10h,449,11,Tuesday
PARIS-GARE-DU-NORD,87271031,DIM,2019-03-17,2019,B,B,Avant 6h,1244,3,Sunday
CHAMPLAN,87725457,SAM,2024-11-30,2024,T12,T12,Avant 6h,0,11,Saturday
PARIS-GARE-DU-NORD,87271031,DIM,2019-03-17,2019,B,B,De 10h à 16h,30986,3,Sunday
CHANGIS-SAINT-JEAN,87116509,SAM,2023-09-16,2023,P,P,De 6h à 10h,63,9,Saturday
VERSAILLES-CHANTIERS,87393009,SAM,2025-08-02,2025,C,V,Avant 6h,11,8,Saturday
CHANTELOUP-LES-VIGNES,87381475,SAM,2024-01-20,2024,J,J6,De 6h à 10h,190,1,Saturday
PARIS-GARE-DU-NORD,87271031,DIM,2024-01-21,2024,K,K,De 16h à 20h,224,1,Sunday
CHAPONVAL,87276162,DIM,2024-01-21,2024,H,H,De 16h à 20h,15,1,Sunday
PARIS-GARE-DU-NORD,87271031,JOB,2023-10-10,2023,B,B,De 6h à 10h,46445,10,Tuesday
CHAPONVAL,87276162,JOB,2024-01-16,2024,H,H,Après 20h,0,1,Tuesday
PARIS-MONTPARNASSE,87391003,SAM,2024-01-20,2024,N,N,Après 20h,5630,1,Saturday
CHATEAU-THIERRY,87116582,JOB,2023-09-19,2023,P,P,De 16h à 20h,293,9,Tuesday
VILLENEUVE-SAINT-GEORGES,87681825,SAM,2024-02-03,2024,D,D,De 16h à 20h,4415,2,Saturday
CHAVILLE-RIVE-GAUCHE,87393207,SAM,2024-01-20,2024,N,N,Après 20h,119,1,Saturday
PARIS-SAINT-LAZARE,87384008,JOB,2024-01-16,2024,J,J4,Avant 6h,111,1,Tuesday
CHELLES-GOURNAY,87116111,DIM,2023-11-19,2023,P,P,De 10h à 16h,1520,11,Sunday
VILLENNES-SUR-SEINE,87386649,SAM,2021-04-12,2021,J,J5,Après 20h,48,4,Monday
CHEZY-SUR-MARNE,87116574,JOB,2023-09-19,2023,P,P,Avant 6h,17,9,Tuesday
PETIT-JOUY-LES-LOGES,87393504,SAM,2025-08-02,2025,C,V,De 6h à 10h,25,8,Saturday
CHEZY-SUR-MARNE,87116574,JOB,2023-09-19,2023,P,P,De 6h à 10h,109,9,Tuesday
PETIT-VAUX,87393652,DIM,2024-01-12,2024,T12,T12,De 16h à 20h,36,1,Friday
CHILLY-MAZARIN,87393637,JOB,2024-11-26,2024,T12,T12,De 16h à 20h,317,11,Tuesday
VIROFLAY-RIVE-DROITE,87382887,DIM,2024-01-21,2024,L,L2,De 16h à 20h,502,1,Sunday
CHOISY-LE-ROI,87545285,JOB,2025-06-02,2025,C,C,Après 20h,788,6,Monday
GOUSSAINVILLE,87276246,DIM,2024-03-03,2024,D,D,De 10h à 16h,1945,3,Sunday
CHOISY-LE-ROI,87545285,JOB,2025-06-02,2025,C,C,Avant 6h,486,6,Monday
PIERRELAYE,87276097,SAM,2025-08-02,2025,C,C,Avant 6h,7,8,Saturday
CHOISY-LE-ROI,87545285,JOB,2025-11-02,2025,C,C,De 6h à 10h,8982,11,Sunday
GRETZ-ARMAINVILLIERS,87116012,SAM,2022-03-19,2022,E,E,De 6h à 10h,210,3,Saturday
CLAMART,87391565,SAM,2024-01-20,2024,N,N,Avant 6h,14,1,Saturday
PLAISIR-GRIGNON,87393421,JOB,2024-01-16,2024,N,N,De 6h à 10h,3628,1,Tuesday
CLAMART,87391565,SAM,2024-01-20,2024,N,N,De 6h à 10h,379,1,Saturday
GROS-NOYER-SAINT-PRIX,87276592,SAM,2024-01-20,2024,H,H,Après 20h,148,1,Saturday
CLICHY-LEVALLOIS,87381129,DIM,2024-01-21,2024,L,L3,De 10h à 16h,1350,1,Sunday
PONT-CARDINET,87381111,SAM,2024-01-20,2024,L,L2,De 16h à 20h,671,1,Saturday
CLICHY-MONTFERMEIL,87704304,SAM,2021-09-18,2021,T4,T4,Avant 6h,3,9,Saturday
VITRY-SUR-SEINE,87545293,JOB,2025-11-02,2025,C,C,De 6h à 10h,3576,11,Sunday
CONFLANS-FIN-D'OISE,87381459,JOB,2024-01-16,2024,J,J6,De 10h à 16h,883,1,Tuesday
ISLES-ARMENTIERES-CONGIS,87116616,DIM,2023-09-17,2023,P,P,Après 20h,4,9,Sunday
CONFLANS-FIN-D'OISE,87381459,SAM,2024-01-20,2024,J,J6,Après 20h,209,1,Saturday
ISSY-VAL-DE-SEINE,87393306,DIM,2025-09-02,2025,C,C,De 10h à 16h,891,9,Tuesday
CONFLANS-SAINTE-HONORINE,87381897,JOB,2024-01-16,2024,J,J6,De 6h à 10h,3569,1,Tuesday
JAVEL,87393066,JOB,2025-11-02,2025,C,C,De 10h à 16h,1383,11,Sunday
CONFLANS-SAINTE-HONORINE,87381897,SAM,2024-01-20,2024,J,J6,De 6h à 10h,743,1,Saturday
JAVEL,87393066,SAM,2025-08-02,2025,C,C,Avant 6h,18,8,Saturday
CORMEILLES-EN-PARISIS,87381863,DIM,2024-01-21,2024,J,J6,De 10h à 16h,1069,1,Sunday
PONTOISE,87276139,DIM,2025-09-02,2025,C,C,De 10h à 16h,435,9,Tuesday
CORMEILLES-EN-PARISIS,87381863,DIM,2024-01-21,2024,J,J6,De 16h à 20h,630,1,Sunday
JOUY-EN-JOSAS,87393512,DIM,2025-09-02,2025,C,V,De 6h à 10h,42,9,Tuesday
CORMEILLES-EN-PARISIS,87381863,DIM,2024-01-21,2024,J,J6,De 6h à 10h,407,1,Sunday
PONTOISE,87276139,SAM,2024-01-20,2024,H,H,De 16h à 20h,1113,1,Saturday
CORMEILLES-EN-PARISIS,87381863,SAM,2024-01-20,2024,J,J6,Avant 6h,28,1,Saturday
JUVISY,87545244,JOB,2025-06-02,2025,C,C,Après 20h,1555,6,Monday
COURBEVOIE,87382200,JOB,2024-01-16,2024,L,L2,De 6h à 10h,3144,1,Tuesday
RIS-ORANGIS,87681338,JOB,2024-12-03,2024,D,D,Avant 6h,131,12,Tuesday
